error_rate,support,N,TBR,TBR_transformed,PBS,PBS_transformed,counter,counter_transformed,smoothed_estimates
0.05,0.025,10,262,262,0.24057971014492752,0.24057971014492752,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'B': 4453, 'G': 5164, 'I': 22738, 'L': 12025, 'E': 33535, 'K': 1702, 'S': 18860, 'N': 19659, 'P': 4648, 'F': 6252, 'A': 23528, 'U': 54, 'M': 11, 'W': 4}","{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'B': 4453, 'G': 5164, 'I': 22738, 'L': 12025, 'E': 33535, 'K': 1702, 'S': 18860, 'N': 19659, 'P': 4648, 'F': 6252, 'A': 23528, 'U': 54, 'M': 11, 'W': 4}","{'O': 0.09770999633442826, 'R': 0.07959566608420851, 'T': 0.12716624613424535, 'H': 0.08472390771300353, 'D': 0.05737803076944977, 'X': 0.02715307854644066, 'Y': 0.04581190634642145, 'B': 0.040847369863306206, 'G': 0.043377682006313326, 'I': 0.105920165271021, 'L': 0.06779466036520483, 'E': 0.1443446100080785, 'K': 0.03105709039015207, 'S': 0.0921191097287121, 'N': 0.09496259693301967, 'P': 0.04154133732868791, 'F': 0.04724966458239173, 'A': 0.10873162320769555, 'U': 0.02519217560579801, 'M': 0.02503914688266256, 'W': 0.025014235230059113}"
0.05,0.05,10,262,262,0.24057971014492752,0.24057971014492752,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'B': 4453, 'G': 5164, 'I': 22738, 'L': 12025, 'E': 33535, 'K': 1702, 'S': 18860, 'N': 19659, 'P': 4648, 'F': 6252, 'A': 23528, 'U': 54, 'M': 11, 'W': 4}","{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'B': 4453, 'G': 5164, 'I': 22738, 'L': 12025, 'E': 33535, 'K': 1702, 'S': 18860, 'N': 19659, 'P': 4648, 'F': 6252, 'A': 23528, 'U': 54, 'M': 11, 'W': 4}","{'O': 0.12270999633442826, 'R': 0.1045956660842085, 'T': 0.15216624613424534, 'H': 0.10972390771300353, 'D': 0.08237803076944977, 'X': 0.05215307854644066, 'Y': 0.07081190634642144, 'B': 0.06584736986330621, 'G': 0.06837768200631333, 'I': 0.130920165271021, 'L': 0.09279466036520484, 'E': 0.1693446100080785, 'K': 0.05605709039015207, 'S': 0.1171191097287121, 'N': 0.11996259693301968, 'P': 0.0665413373286879, 'F': 0.07224966458239174, 'A': 0.13373162320769555, 'U': 0.050192175605798015, 'M': 0.05003914688266256, 'W': 0.050014235230059115}"
0.05,0.07500000000000001,10,262,163,0.24057971014492752,0.527536231884058,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'B': 4453, 'G': 5164, 'I': 22738, 'L': 12025, 'E': 33535, 'K': 1702, 'S': 18860, 'N': 19659, 'P': 4648, 'F': 6252, 'A': 23528, 'U': 54, 'M': 11, 'W': 4}","{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'I': 22738, 'L': 12025, 'E': 33535, 'S': 18860, 'N': 19659, 'A': 23528}","{'O': 0.14770999633442827, 'R': 0.12959566608420853, 'T': 0.17716624613424536, 'H': 0.13472390771300352, 'D': 0.10737803076944978, 'I': 0.15592016527102098, 'L': 0.11779466036520483, 'E': 0.1943446100080785, 'S': 0.1421191097287121, 'N': 0.1449625969330197, 'A': 0.15873162320769557}"
0.05,0.1,10,262,135,0.24057971014492752,0.6086956521739131,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'B': 4453, 'G': 5164, 'I': 22738, 'L': 12025, 'E': 33535, 'K': 1702, 'S': 18860, 'N': 19659, 'P': 4648, 'F': 6252, 'A': 23528, 'U': 54, 'M': 11, 'W': 4}","{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'I': 22738, 'E': 33535, 'S': 18860, 'N': 19659, 'A': 23528}","{'O': 0.17270999633442827, 'R': 0.1545956660842085, 'T': 0.20216624613424533, 'H': 0.15972390771300354, 'I': 0.180920165271021, 'E': 0.2193446100080785, 'S': 0.1671191097287121, 'N': 0.16996259693301968, 'A': 0.18373162320769557}"
0.05,0.125,10,262,61,0.24057971014492752,0.8231884057971015,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'B': 4453, 'G': 5164, 'I': 22738, 'L': 12025, 'E': 33535, 'K': 1702, 'S': 18860, 'N': 19659, 'P': 4648, 'F': 6252, 'A': 23528, 'U': 54, 'M': 11, 'W': 4}","{'T': 28708, 'I': 22738, 'E': 33535, 'A': 23528}","{'T': 0.22716624613424535, 'I': 0.20592016527102097, 'E': 0.2443446100080785, 'A': 0.20873162320769556}"
0.05,0.15000000000000002,10,262,31,0.24057971014492752,0.9101449275362319,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'B': 4453, 'G': 5164, 'I': 22738, 'L': 12025, 'E': 33535, 'K': 1702, 'S': 18860, 'N': 19659, 'P': 4648, 'F': 6252, 'A': 23528, 'U': 54, 'M': 11, 'W': 4}","{'T': 28708, 'E': 33535}","{'T': 0.2521662461342454, 'E': 0.2693446100080785}"
0.05,0.17500000000000002,10,262,0,0.24057971014492752,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'B': 4453, 'G': 5164, 'I': 22738, 'L': 12025, 'E': 33535, 'K': 1702, 'S': 18860, 'N': 19659, 'P': 4648, 'F': 6252, 'A': 23528, 'U': 54, 'M': 11, 'W': 4}",{},{}
0.05,0.2,10,262,0,0.24057971014492752,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'B': 4453, 'G': 5164, 'I': 22738, 'L': 12025, 'E': 33535, 'K': 1702, 'S': 18860, 'N': 19659, 'P': 4648, 'F': 6252, 'A': 23528, 'U': 54, 'M': 11, 'W': 4}",{},{}
0.05,0.225,10,262,0,0.24057971014492752,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'B': 4453, 'G': 5164, 'I': 22738, 'L': 12025, 'E': 33535, 'K': 1702, 'S': 18860, 'N': 19659, 'P': 4648, 'F': 6252, 'A': 23528, 'U': 54, 'M': 11, 'W': 4}",{},{}
0.05,0.25,10,262,0,0.24057971014492752,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'B': 4453, 'G': 5164, 'I': 22738, 'L': 12025, 'E': 33535, 'K': 1702, 'S': 18860, 'N': 19659, 'P': 4648, 'F': 6252, 'A': 23528, 'U': 54, 'M': 11, 'W': 4}",{},{}
0.05,0.275,10,262,0,0.24057971014492752,1.0,"{'O': 20431, 'R': 15341, 'T': 28708, 'H': 16782, 'D': 9098, 'X': 605, 'Y': 5848, 'B': 4453, 'G': 5164, 'I': 22738, 'L': 12025, 'E': 33535, 'K': 1702, 'S': 18860, 'N': 19659, 'P': 4648, 'F': 6252, 'A': 23528, 'U': 54, 'M': 11, 'W': 4}",{},{}
